Genus_Name,Baseline_01_2018.09.05,Baseline_02_2018.09.06,Baseline_03_2018.09.07,Baseline_05_2018.09.09,Baseline_06_2018.09.10,Baseline_07_2018.09.11,Baseline_09_2018.09.13,Baseline_10_2018.09.14,Baseline_11_2018.09.15,Baseline_12_2018.09.16,Baseline_14_2018.09.18,Baseline_15_2018.09.19,Baseline_17_2018.09.21,Baseline_18_2018.09.22,Baseline_19_2018.09.23,Baseline_20_2018.09.24,Baseline_21_2018.09.25,Baseline_22_2018.09.26,Baseline_23_2018.09.27,Baseline_24_2018.09.28,Baseline_25_2018.09.29,Baseline_26_2018.09.30,Baseline_27_2018.10.01,Baseline_28_2018.10.02,Baseline_29_2018.10.03,Baseline_30_2018.10.04,Baseline_31_2018.10.05,Baseline_32_2018.10.06,Baseline_33_2018.10.07,OutsideFarm_01_2018.09.05,OutsideFarm_02_2018.09.10,OutsideFarm_03_2018.09.11,OutsideFarm_04_2018.09.12,OutsideFarm_05_2018.09.17,OutsideFarm_06_2018.09.20,OutsideFarm_07_2018.09.22,OutsideFarm_08_2018.09.24,OutsideFarm_10_2018.10.01,OutsideFarm_11_2018.10.03,OutsideFarm_12_2018.10.06,TxAntibiotic_01_2018.09.06,TxAntibiotic_02_2018.09.07,TxAntibiotic_03_2018.09.13,TxAntibiotic_04_2018.09.14,TxAntibiotic_05_2018.09.19,TxAntibiotic_06_2018.09.20,TxAntibiotic_07_2018.09.21,TxAntibiotic_08_2018.09.26,TxAntibiotic_09_2018.09.29,TxAntibiotic_10_2018.10.03,TxAntibiotic_11_2018.10.04,TxAntibiotic_12_2018.10.05
Acinetobacter,18.8837190091295,118.745911666304,35.5573964999046,27.2092873624038,18.4270341863973,31.1465572054574,17.8884506354425,67.9347048927859,32.7537725514979,31.6887956626454,64.2434228533761,14.30061021545,163.194119320746,72.1190981776822,32.5771884486416,49.5134387451577,138.381099475856,12.846038538821,45.5069866713835,250.474003801681,59.2105085468483,13.5899085384034,351.652914174324,231.927199185748,65.9028308083239,94.7487581245364,14.412955123486,93.8885753737039,18.5920541616961,9.73587517201736,68.5540641644663,42.1100020697967,26.4401804487884,12.4958922024114,51.1779257057473,158.779290542017,22.2309651102729,18.6911755968011,121.423035730156,31.3558484735439,83.0920770742283,67.5274772711231,16.8613031937461,14.0546819921456,64.7197971539083,51.1063364255143,70.5507525674733,13.6800537657927,33.7794707158298,407.3929331394,338.800165402291,135.701847211738
Aerococcus,0.339482588928171,1.02159004249127,0.609306671968989,1.11523860637705,0.40025303997187,0.529309522344471,0.424995587451117,0.703986579199854,0.191076942449185,0.534330980728448,1.01794155929645,0.258834574035294,4.67231035455322,0.953115834947342,0.58331373782158,1.07378541856968,1.9743595207037,0.705418301264739,0.542672754173227,3.11974595783875,1.53142627325495,0.151208996254837,2.82191692080278,6.26774360981819,3.33461246345299,2.51472171030724,0.748724941479792,3.2174609707046,1.06748636335097,0.585955450167712,1.32252819344768,1.25128770017225,1.71495812273585,0.742820540433967,2.2506283959084,3.74647764200265,3.15301923459426,0.56319926468704,5.16989461961979,2.46150984393763,0.39170276136652,0.378468292530545,0.389946882371556,0.194125441880464,0.606274446406635,0.760202434997509,2.78274430080521,0.353489761389992,1.40187684039544,10.7119459870237,6.19910683521743,4.43393825799317
Aeromonas,1.69741294464086,10.1973260605038,2.07454414503727,1.31800926208197,2.52467302136103,1.60446948960668,1.94467677894299,12.0557701687975,1.41715398983146,72.476060524917,10.820341759929,0.841212365614707,10.3969428610328,8.97517411242081,2.0681123431856,5.71194187933596,5.19979834165529,1.11381837041801,1.28690967418222,61.0430292417116,16.7621566636269,0.283516867977819,7.37904983638491,10.384182482273,8.50666444758415,9.84381195811056,0.267401764814212,11.1845071838779,1.33435795418872,1.66771935816964,10.7251601441237,133.320533494352,1.26757774289172,1.81578354328303,4.89682178261281,5.23317511898783,1.81625531946674,1.16159848341702,24.5014091784669,2.93487712161794,0.936680516311244,140.033268236302,1.99652803774237,0.737676679145762,131.819221509963,4.37116400123567,1.87075247112955,1.25488865293447,0.94098582437502,6.03394425851334,101.462932282538,9.37350105417855
Anaerococcus,0.282902157440143,0.111446186453593,0.246624129130305,0.316829149538936,0.415647387663096,0.148868303159382,0.257573083303707,0.281594631679942,0.30253849221121,0.207795381394396,0.37701539233202,0.754934174269609,2.48348027854631,0.258135538631572,0.512609042328055,0.447410591070702,9.67631646285477,0.798236498799573,0.511662882506186,5.2619715155547,0.375895539798943,0.189011245318546,5.18812055004735,2.00650538004081,1.23857034356825,1.96876239162211,1.60441058888527,2.26754392221086,1.10306924212934,0.210342982111486,0.144934596542212,0.633985768087272,0.462293059172274,0.396170954898116,0.354644474506777,2.55711966041451,0.668381957563761,0.58079924170851,0.847751537088192,1.40116714193373,3.06549987156407,0.291129455792727,0.296359630602382,0.368838339572881,0.621431307566801,1.14030365249626,2.66582227135961,0.212093856833995,0.537706185357154,3.29946015634063,6.38887541180572,3.01430013153044
Bacteroides,18.8271385776415,12.7234396201186,29.8560269264804,9.17537217064758,17.9959924510429,11.1982045821002,15.7892300065172,14.378925880157,13.5027705997424,10.2116587428103,13.3274941189369,11.4318603532255,183.924865713696,13.1450558903154,15.3605950959683,12.5274965499796,189.909928154816,12.864602178328,13.7993928918335,182.401147001639,11.7919823040631,2.92967430243746,227.821590910525,412.781596481591,1.36106631161346,0.661768871133483,2.03225341258801,1.85387036883456,1.1386521209077,11.4486680263538,11.3954826531314,15.2490261060991,7.06861000153735,9.82173825684912,10.4074513095643,168.442824142421,18.5258042585608,15.6287795950654,1.34806391963204,3.16209341490449,11.3934411893131,16.6671613441336,12.7278662406076,9.16272085675788,16.2329983025376,27.1772370511609,99.3135718110902,15.9777372148277,20.5672615899112,257.041505604235,237.210720735361,4.9979040890537
Chryseobacterium,0.905286903808457,1.17018495776273,0.362682542838684,0.811082622819675,0.538802169192902,0.926291664102824,0.927263099893345,0.879983223999818,0.52546159173526,1.15771712491164,1.01794155929645,0.603947339415687,9.02892406352852,0.774406615894716,0.830780172048917,0.909734868510427,2.59989917082765,0.445527348167204,1.86059230002249,13.7476805208761,0.737869022568295,0.113406747191128,11.0422836031413,10.3634968597984,1.26579166980052,2.53126593208557,1.17656776518253,1.40955433002297,1.12086068151852,0.570930951445463,1.05077582493104,2.08547950028708,0.730721287078755,0.940906017883025,1.28217617706296,5.29264301806724,0.857272510788302,0.38719949447234,3.16864508944439,0.68164887985965,1.26026105830967,2.64927804771382,0.530327760025316,0.504726148889205,50.9422103593175,0.846589075338135,3.8584269717047,1.04279479610048,2.74614230378832,22.5990421667166,16.5098661631811,6.80648416797197
Corynebacterium,76.6806297741507,18.2586002139804,18.0906052367935,40.6681896348178,82.5906753634263,20.494203068275,75.6105786038032,18.4796477039962,19.2510019517554,15.5549685500948,17.7574249788381,6.55714254222746,117.123455509408,15.4285625782101,16.969126918446,30.0212506608441,22.8517453435904,8.8362924053162,10.1712379067896,23.8972540370449,29.3616182754063,1.15296859644313,46.3425362646121,40.7713618975302,72.8442689975526,89.1071784981235,1.92529270666232,78.8277937822628,11.1018581788501,20.3131222724807,16.613128128651,21.655619130981,37.8782054934702,23.225522230902,25.3025192388489,32.4100049982769,38.4755526875835,16.7551781244394,94.0309327858804,31.3179790913295,10.0480273567933,21.2524502728691,21.6342530339739,9.78392227077537,25.58478163836,46.8733910488237,5.51871978983218,5.44374232540588,4.89696704521694,21.6272833535478,36.2457981283631,165.942084015157
Cutibacterium,802.282228284501,343.439997921157,300.837915633831,607.247421172306,797.088534756288,271.238048356395,772.010923932036,345.745408709528,297.347568608007,335.559855897465,347.17462402894,112.549900609681,1991.26711520425,278.270110644835,248.36791909488,494.582581055923,410.901357675166,136.312804899657,142.164756657552,724.696187699557,489.318538419016,15.1965041236111,1249.89886670414,923.550986625587,2089.3456736316,2281.87833299892,46.0733240774886,2131.88963918887,178.394762755337,243.50205079149,335.233721802136,486.851018383018,570.559111094555,292.423686084172,420.14458091376,833.977816689606,409.747200071697,233.868494661293,2282.70304048868,392.951644547981,160.291582173117,563.699408778668,261.014845184225,149.961903852658,556.787294718693,576.665378929815,137.593844251579,98.3231771306264,62.9308274791213,483.574304283402,1040.62761781798,2815.33687575181
Elizabethkingia,1.06088309040054,4.12350889878296,1.1025549302296,1.64751157760247,0.862083470708644,0.909750741529559,0.888627137397789,3.97752417247918,1.16238473323254,1.46941019700323,3.28003391328857,0.603947339415687,6.73486177232897,3.27633568263149,0.883808693669061,1.44662757779527,5.80578987771286,0.519781906195071,0.821761599176601,13.8100754400329,1.32259541781109,1.47428771348466,14.1796943411767,11.9976610352955,1.48356227965868,5.50922585218625,0.802205294442635,4.56573032985701,0.355828787783658,1.02166591311293,3.24291159763199,1.66838360022966,1.68513276407958,1.00693451036604,1.00937273513467,7.4334873849259,1.68548493646514,1.759997702147,4.30824551634983,0.511236659894738,23.5873184562013,58.2695605769144,1.13864489652494,0.446488516325066,3.7285878454008,3.19630569260316,142.831951170741,19.4242623883801,86.5322882578335,1033.70278774778,23.8475844579283,6.47588350838476
Enterobacter,4.31425790096218,4.56929364459733,2.39370478273531,1.20395076824796,1.83192737525587,1.9683697862185,2.18937120808151,5.61429296911884,2.16553868109077,2.76071006709698,4.41108009028463,1.72556382690196,10.2075248736861,3.75289360010516,2.61607373326042,4.63815646076627,4.75019171812871,1.52221843957128,2.37225518252868,9.40083448628745,15.9268332418515,0.585934860487492,12.7073898607579,7.81916529541675,0.884693102548752,1.88604128273043,0.347622294258475,1.68533669894051,0.693866136178132,1.38225388244691,4.09440235231749,3.32008336445703,0.566681814469239,2.60812545307926,4.06477128473153,8.47417561881552,2.74617804303371,1.28479832256731,5.19768975198334,0.284020366608188,130.079377883369,15.7355470855969,15.0675475348369,45.1729903255839,97.1706368978234,36.2132796307904,115.939884398254,6.41583916922836,19.8375174812122,41.2658509964245,14.9917175504748,7.33155580378695
