EC,OutsideFarm-13,OutsideFarm-9,Baseline-28,Baseline-17,Baseline-4,Baseline-27,Baseline-13,Baseline-21,Baseline-16,Baseline-29,Baseline-8,Baseline-5,OutsideFarm-6,OutsideFarm-7,OutsideFarm-3,Baseline-1,OutsideFarm-11,Baseline-25,TxAntibiotic-10,Baseline-11,TxAntibiotic-2,OutsideFarm-1,Baseline-31,OutsideFarm-2,Baseline-14,Baseline-20,Baseline-30,Baseline-32,Baseline-7,Baseline-9,TxAntibiotic-1,Baseline-24,Baseline-12,TxAntibiotic-5,TxAntibiotic-3,OutsideFarm-4,Baseline-3,Baseline-10,Baseline-6,TxAntibiotic-12,TxAntibiotic-6,OutsideFarm-5,TxAntibiotic-7,Baseline-2,OutsideFarm-10,Baseline-19,OutsideFarm-8,TxAntibiotic-8,Baseline-18,TxAntibiotic-4,TxAntibiotic-9,OutsideFarm-12,Baseline-33,Baseline-22,Baseline-23,TxAntibiotic-11,Baseline-26,Baseline-15,Neg-1,Neg-2,Neg-4,Neg-3,Neg-5,SequencingBlank,Neg-6
2.2.1.1,0.001700926,0.001836282,0.00160193,0.001522024,0.001901304,0.001530099,0.001839404,0.001536016,0.001829299,0.001616287,0.00181959,0.001642952,0.001737444,0.001711654,0.001439922,0.001579491,0.00170583,0.001567176,0.001484966,0.00152127,0.001622441,0.001592843,0.001568547,0.001562517,0.001586748,0.001637339,0.001700679,0.001499614,0.001529564,0.00153804,0.001523503,0.001377079,0.001485136,0.001487601,0.001471319,0.001512359,0.001495309,0.001571461,0.00146998,0.001817115,0.001594226,0.001593727,0.001685567,0.001549436,0.001377986,0.001579553,0.001586704,0.001707722,0.001655487,0.001508243,0.001701084,0.00164779,0.001614961,0.001510991,0.001705588,0.0018054,0.001449728,0.001602671,0.001983459,0.000951079,0.001418944,0.00201705,0.001398115,0.001074188,0.001692524
2.2.1.2,0.001612583,0.001437147,0.001686699,0.0017268,0.001576396,0.001718731,0.001381661,0.001704428,0.001479235,0.001456154,0.001372516,0.001421416,0.001591609,0.001829928,0.001473859,0.001594367,0.001517931,0.001532495,0.001697629,0.001528353,0.001522858,0.00152583,0.001930096,0.00164365,0.001500283,0.001556827,0.00149957,0.001429803,0.001565914,0.001556461,0.001495387,0.001830473,0.001463302,0.001553066,0.001525124,0.001391877,0.001559443,0.001508004,0.001462973,0.001732495,0.001570439,0.001583297,0.001865122,0.001541163,0.001487025,0.001463918,0.001598144,0.001565574,0.001650877,0.001520088,0.001440319,0.001699179,0.001576342,0.001463611,0.001659513,0.001811235,0.001562088,0.001668269,0.00146304,0.00126496,0.001968577,0.001634559,0.001537513,0.002236179,0.001940775
2.2.1.6,0.005306574,0.002885513,0.00368351,0.003456036,0.00300969,0.003586199,0.003060114,0.003660057,0.002980165,0.003412998,0.00303404,0.003236649,0.00309878,0.003367983,0.003330083,0.003369636,0.003317376,0.003289027,0.003691314,0.003309757,0.003191612,0.003531904,0.002990966,0.003437046,0.003450479,0.003297441,0.003230265,0.003253924,0.003278179,0.003303075,0.003363018,0.003734924,0.00319683,0.003393194,0.003344471,0.003333726,0.003448216,0.003261222,0.003292874,0.003425414,0.003171709,0.003315767,0.003526388,0.003412269,0.002974308,0.003213437,0.00323052,0.00334539,0.003056123,0.003203949,0.003718516,0.003151742,0.003312025,0.003170248,0.003087596,0.003316419,0.003172892,0.003156785,0.004169236,0.00361193,0.003214018,0.00305922,0.003319536,0.002953363,0.003178907
2.2.1.7,0.003106556,0.004064977,0.004192757,0.004151792,0.00415724,0.004105938,0.004228065,0.004357598,0.004066377,0.004611003,0.004108892,0.004538733,0.004321458,0.004227669,0.00447877,0.004654305,0.004789989,0.004276782,0.003941951,0.004339068,0.004541568,0.004497882,0.004189459,0.004472588,0.004198568,0.00445758,0.004577532,0.004449888,0.004595585,0.00454701,0.004626681,0.004728492,0.004649931,0.0045357,0.00466332,0.004450228,0.00438668,0.00444668,0.00463869,0.004167267,0.004272879,0.004449821,0.00391128,0.004321583,0.004853914,0.004299932,0.004362803,0.004084118,0.004205136,0.004466048,0.004740055,0.004172482,0.004467688,0.00448177,0.004443019,0.004074051,0.004115486,0.004324684,0.004680158,0.004487872,0.004863926,0.003755967,0.004403254,0.004021198,0.003798249
2.2.1.9,0.002138486,0.002422548,0.002005133,0.0023174,0.002404464,0.002141045,0.002317668,0.002113777,0.002342156,0.00223436,0.00238927,0.002287127,0.002306075,0.00196137,0.002354961,0.002117743,0.002259579,0.002208506,0.001786713,0.002203806,0.002071975,0.002036479,0.001922688,0.002376285,0.002219173,0.002217584,0.002268149,0.002265466,0.002111556,0.002241519,0.002185716,0.001993304,0.002298282,0.00225928,0.002055327,0.002288356,0.002169784,0.002305425,0.002211127,0.002300788,0.002379335,0.001976201,0.001843632,0.002263604,0.002130096,0.002214948,0.002179011,0.002195403,0.002252526,0.002151859,0.001963458,0.002016446,0.002011986,0.002131448,0.002034713,0.002209748,0.001679366,0.002037407,0.001445632,0.002470352,0.001737052,0.0021547,0.001606648,0.00135768,0.001774356
2.3.1.1,0.000365206,0.00100313,0.000754489,0.000647306,0.000977404,0.000621966,0.000860028,0.000698924,0.000925141,0.000508467,0.000960953,0.000659883,0.000698312,0.000668768,0.00069297,0.000623886,0.000583006,0.000698677,0.000703943,0.000661433,0.000663252,0.000582342,0.000567847,0.000766463,0.000764937,0.000616588,0.000584533,0.000530225,0.000736205,0.000632007,0.000631767,0.00078979,0.000675147,0.000768385,0.000647613,0.000698743,0.000713607,0.000656806,0.000664962,0.000589351,0.000652163,0.000646138,0.000637463,0.00072233,0.00066312,0.000716251,0.000697156,0.000632215,0.000735596,0.000685633,0.000548064,0.000639145,0.000559801,0.000616909,0.000602304,0.000682294,0.000609634,0.000641437,0.000578544,0.000723774,0.000741653,0.000690216,0.000988965,0.000512924,0.000428612
2.3.1.109,0.000463841,0.001027392,0.000734287,0.000617923,0.000982921,0.000573647,0.000919409,0.000426093,0.000911652,0.000477912,0.000857817,0.000745129,0.000649717,0.00052359,0.000718884,0.000606013,0.000461528,0.000637756,0.000468326,0.000615333,0.000629103,0.000551241,0.000450104,0.00061144,0.000658532,0.000630422,0.000460054,0.000476174,0.000586053,0.000606685,0.000508161,0.0005209,0.000604622,0.000699954,0.000548903,0.000600941,0.000633368,0.000604864,0.000594678,0.000546323,0.000730805,0.000523689,0.000598501,0.000608708,0.000544514,0.000502919,0.000600036,0.000769251,0.000628701,0.000583679,0.000533428,0.000561018,0.000590785,0.000545084,0.000474519,0.00061816,0.000435619,0.000563621,0.000319391,0.00063173,0.000456496,0.000621746,0.000478742,0.000582888,0.000546231
2.3.1.117,0.000379015,0.000779736,0.000725791,0.000707983,0.000752148,0.000754887,0.000793839,0.000854895,0.000697135,0.000586607,0.000716145,0.000807159,0.000697981,0.000579904,0.000699425,0.000682415,0.00063249,0.000782661,0.000772576,0.000644739,0.000684269,0.000571831,0.000541289,0.000655514,0.000676955,0.000727265,0.000610396,0.000642827,0.000724163,0.000669547,0.000545454,0.000668908,0.000640315,0.000763989,0.000583096,0.000728259,0.000632453,0.000771105,0.000708001,0.0008909,0.000735023,0.0005931,0.000584257,0.000696987,0.000571474,0.000583839,0.000704593,0.000707008,0.000619959,0.000762298,0.001549409,0.000622099,0.0006252,0.000630992,0.000553177,0.000704424,0.000496194,0.000634312,0.000405734,0.000511101,0.000656426,0.000724803,0.000702373,0.000724263,0.000624066
2.3.1.12,0.003830182,0.006061637,0.009299398,0.013366271,0.005832595,0.010128946,0.006468345,0.01081747,0.005989557,0.006136283,0.006434709,0.00667827,0.006531317,0.011926271,0.007263709,0.006317821,0.005986759,0.006436654,0.010612608,0.006780002,0.006848985,0.006140723,0.014005913,0.006762959,0.006764697,0.006579891,0.006353771,0.006267246,0.006533968,0.007021226,0.006541556,0.010057829,0.007859075,0.006879205,0.006743292,0.006980569,0.006479094,0.006936979,0.006783828,0.007599017,0.006029727,0.006258251,0.01430197,0.006332919,0.006840523,0.006055178,0.005773793,0.00572911,0.005967864,0.007641829,0.017434457,0.006613451,0.009889481,0.005817135,0.005316288,0.008864138,0.00945511,0.005937017,0.005382921,0.00747602,0.011857178,0.007691217,0.009776955,0.014641962,0.009698582
2.3.1.129,0.000683218,0.001073967,0.000895457,0.000898045,0.001026425,0.000985672,0.001016912,0.000904817,0.001077173,0.001092008,0.001056265,0.001077949,0.001103275,0.00094511,0.001081919,0.001015192,0.000919552,0.00106275,0.000717047,0.001064422,0.001162968,0.001092295,0.000694326,0.001146143,0.000983635,0.001012371,0.000903426,0.001015888,0.001079706,0.001038837,0.001082949,0.000829444,0.001092391,0.001068274,0.001040946,0.001120147,0.00108388,0.001162995,0.001045746,0.000794396,0.000835734,0.000982953,0.000622623,0.001143451,0.00116057,0.000994018,0.00103158,0.000836534,0.000945237,0.001120978,0.00080567,0.000914683,0.000877425,0.001169241,0.000990229,0.000884744,0.00058449,0.00091026,0.000561369,0.000934201,0.000799281,0.000794563,0.000894007,0.000838626,0.001014107
