Name,Cumul.reads_dtBaseline_1_2018-09-05_ds10813553,Cumul.reads_dtBaseline_10_2018-09-14_ds10813559,Cumul.reads_dtBaseline_11_2018-09-15_ds10813571,Cumul.reads_dtBaseline_12_2018-09-16_ds10813570,Cumul.reads_dtBaseline_13_2018-09-17_ds10813556,Cumul.reads_dtBaseline_14_2018-09-18_ds10813558,Cumul.reads_dtBaseline_15_2018-09-19_ds10813575,Cumul.reads_dtBaseline_16_2018-09-20_ds10811746,Cumul.reads_dtBaseline_17_2018-09-21_ds10813554,Cumul.reads_dtBaseline_18_2018-09-22_ds10813555,Cumul.reads_dtBaseline_19_2018-09-23_ds10813563,Cumul.reads_dtBaseline_2_2018-09-06_ds10813564,Cumul.reads_dtBaseline_20_2018-09-24_ds10813569,Cumul.reads_dtBaseline_21_2018-09-25_ds10813551,Cumul.reads_dtBaseline_22_2018-09-26_ds10813572,Cumul.reads_dtBaseline_23_2018-09-27_ds10813557,Cumul.reads_dtBaseline_24_2018-09-28_ds10813561,Cumul.reads_dtBaseline_25_2018-09-29_ds10811749,Cumul.reads_dtBaseline_26_2018-09-30_ds10813560,Cumul.reads_dtBaseline_27_2018-10-01_ds10813567,Cumul.reads_dtBaseline_28_2018-10-02_ds10813574,Cumul.reads_dtBaseline_29_2018-10-03_ds10813578,Cumul.reads_dtBaseline_3_2018-09-07_ds10811748,Cumul.reads_dtBaseline_30_2018-10-04_ds10811747,Cumul.reads_dtBaseline_31_2018-10-05_ds10813562,Cumul.reads_dtBaseline_32_2018-10-06_ds10813566,Cumul.reads_dtBaseline_33_2018-10-07_ds10813573,Cumul.reads_dtBaseline_4_2018-09-08_ds10813565,Cumul.reads_dtBaseline_5_2018-09-09_ds10813552,Cumul.reads_dtBaseline_6_2018-09-10_ds10813576,Cumul.reads_dtBaseline_7_2018-09-11_ds10813577,Cumul.reads_dtBaseline_8_2018-09-12_ds10811750,Cumul.reads_dtBaseline_9_2018-09-13_ds10813568,Cumul.reads_dtKefir_ds10826596,Cumul.reads_dtNeg_DNAextr_1_ds10826595,Cumul.reads_dtNeg_DNAextr_2_ds10828555,Cumul.reads_dtNeg_DNAextr_3_ds10828557,Cumul.reads_dtNeg_DNAextr_4_ds10828558,Cumul.reads_dtNeg_DNAextr_5_ds10826597,Cumul.reads_dtNeg_DNAextr_6_ds10828559,Cumul.reads_dtOutsideFarm_1_2018-09-05_ds10826589,Cumul.reads_dtOutsideFarm_10_2018-10-01_ds10826591,Cumul.reads_dtOutsideFarm_11_2018-10-03_ds10826593,Cumul.reads_dtOutsideFarm_12_2018-10-06_ds10828553,Cumul.reads_dtOutsideFarm_13_2018-10-07_ds10828554,Cumul.reads_dtOutsideFarm_2_2018-09-10_ds10828551,Cumul.reads_dtOutsideFarm_3_2018-09-11_ds10826599,Cumul.reads_dtOutsideFarm_4_2018-09-12_ds10826598,Cumul.reads_dtOutsideFarm_5_2018-09-17_ds10828552,Cumul.reads_dtOutsideFarm_6_2018-09-20_ds10826592,Cumul.reads_dtOutsideFarm_7_2018-09-22_ds10826594,Cumul.reads_dtOutsideFarm_8_2018-09-24_ds10826590,Cumul.reads_dtOutsideFarm_9_2018-09-28_ds10826600,Cumul.reads_dtSequencingBlank_ds10828556,Cumul.reads_dtTxAntibiotic_1_2018-09-06_ds10798909,Cumul.reads_dtTxAntibiotic_10_2018-10-03_ds10798906,Cumul.reads_dtTxAntibiotic_11_2018-10-04_ds10798915,Cumul.reads_dtTxAntibiotic_12_2018-10-05_ds10798912,Cumul.reads_dtTxAntibiotic_2_2018-09-07_ds10798908,Cumul.reads_dtTxAntibiotic_3_2018-09-13_ds10798911,Cumul.reads_dtTxAntibiotic_4_2018-09-14_ds10798910,Cumul.reads_dtTxAntibiotic_5_2018-09-19_ds10798913,Cumul.reads_dtTxAntibiotic_6_2018-09-20_ds10798904,Cumul.reads_dtTxAntibiotic_7_2018-09-21_ds10798907,Cumul.reads_dtTxAntibiotic_8_2018-09-26_ds10798914,Cumul.reads_dtTxAntibiotic_9_2018-09-29_ds10798905
Agrobacterium,4,4.99,5,4.95,4.33,5,5,5,4,4,4,4,5,4,6,4,4,5,2,4,4,7,5,6,3,6,6,4.54,6,5,4,4.05,5,3.38,3.26,3,3,3.55,2.56,1,4,5,6,6,4.09,4.52,5,6,4,5,4,5,4.32,3.09,4,3,3.01,7,4,4,4.34,4.04,4,2.98,4,2
Agromyces,2,2,3,2,2.71,2,1,1,3,2,2,2,2,2.68,2,1,2,2,1,3,2.98,3,2.3,2,1,2,1,1,2,1,2,2,2,1,1,1,2.01,1,1,1,1,2,2,1,1,1,2,1,2,2.73,3,2,3.02,1,1,1,1,3,2,2,3,2,2,1,1,1
Akkermansia,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1
Alcanivorax,1,2,1,1,2.02,2,1,2,3,2,2,1,1,2,1,1,2,2,1,2,3,2,1,1,1,2,1,2,1,1,1,3,2,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,2,1,2,2.92,1,2,2,1,1,1,1,2,2.03,2,1,2,1
Alicycliphilus,2,2,2.74,3,2,3,1,2.97,2,2,2,2,2,2,3,3,2,2,1,2,2,2,2.99,2,1,2,1,3.87,3,1,2,3.1,2,1,1,1,1,1,1,1,2,3,2,1,2,2.09,3,2,2,2.04,2,2,3,2.08,3,2,2,2,2,2,2,3,2,2,2,1
Alistipes,2,2,3,1,2.05,3,1,2.15,2,3,2,2.1,2,1,3,2,2,2.04,2,1,2,2.97,3,1,1,2,2,2.1,2,2,2.85,2,3,1.61,1,1,2.04,1,1,1,2,2.42,1,2,1,2,3,3,3,3,3,3,2,1,1,2,2,1,2,1,2,2,1,3,1,1
Aminobacter,1,1,2,1,1,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,3,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,3,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1
Anaerococcus,3,3,3.87,3,3,3.9,5,2.01,4,3,4,2,3.92,5,5,4,4,3,3,4,4,4,3.98,4,5,4,6,3,3.45,3.23,3,3,3,3.39,2.68,1,3,1,2,2,3,4,3,5,5,2.99,4,4,3.91,4,4,5,3,2.06,5,4,4,4.99,3,3,4,3,4,4,3,3.71
Anaerostipes,3,3,2,4,4,3,4.02,4.19,4,3,4,3,3,5,4,3.01,5,3,4,5,6,2,4,2,2,2,3.75,3.69,4,3,3,4.43,3,2.64,2,1,1,3,3,4,3,4,2,3.18,3,4,4,2.83,3.91,4,5,4,4,2.05,3,4,5,3,3,3.25,3,3.04,3,5,4,4
Anoxybacillus,1,2,1,1,2,3,2,2,3,2,2,2.14,1,3,1,2,3,2.01,2,3,4,1,1,2,1,1,1,2,3,1,1,2,1,1.25,2,1,1,1,1,1,2.02,2,1,1,1,2,1,1,2,2,2,1,1,1,1,2.99,3,1,1,1,2,2,2,2,1,1
Arthrobacter,3,2.04,3,3,2.97,2,4,2.62,3,3,3,3,3,2.23,4,2,3,3,1,3,2.54,2,3,4,2,3.24,1,2.52,3,3,3,3.02,3,1.9,1,1,1,1,1,1,1,3,3,2,2,2,2.16,3,3,3,3,3,1.99,1,2,2,2,3.94,2,2,4,3,2.15,2,2.01,2
Atopobium,2,3,2,2,2.17,3,1,2,3.08,1,2,2,3,1,2,1,3,2,2,2,2,4,2,4.99,1,4,2,1,2,2,1,2.11,3,1.14,1,1,1,2,1,1,2,3,4,1,1,2,1,2,2,3,3,2,2.72,1,2,2,2,4,2,2,3,2,3,2,1,2
Aureimonas,1,2,1,2,1,2,1,1,1,1,1,1,1,3,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1.96,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Azoarcus,1,1,1,1,3,2,1,3.01,2,2,1,1,1,1,1,1,1,2,1,1,3,2,2.38,1,2,1,1,2.91,2.52,1,1,2.91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,3,1,2,1,1,2,2.51,2,2,2.8,2,1,3,1
Azospira,1,3,2,2.06,3,2.34,2.01,2,2,2,2,2,3,2,1,1,2,3,1,3,3,2,1,1,2,1,1,2,2,2,2.01,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,3,1,2.85,2.02,3,1,2.95,1,1,2,1,1,2,1,1,2,3,2,1,1
Azospirillum,2,2,2,2,1,2,1,2.71,2,1,2,1,2,1,1,2,1,1,1,2,1,2.82,1,2,1,3,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2.12,1,2,2,2.2,1,2,1,1,2,2,3,2.46,2,2,2,2,2,1,1
Azotobacter,2,3,3,4,3,4,3,3.03,3,3,2,2,2.99,2,2,2.24,3,2,2,3,4,1,2.25,1,1,1,1,3,3,2,2.99,3.67,2,1,1,1,1,2,1,1,2.01,2.34,2,1,1,3,3,2.04,3,3,3,2,3.58,1,3,2,2,3,3,2,3,3,3,2,3,1
Bacillus,3,3,4,4,3,4,5,3,4,3,3,3,4,5,4,3.97,5,3.99,4,4,4.69,3,3.99,3,4,3,4,3,3,3,3,2.12,4,6.01,4.9,3,2.04,4,2.61,2.98,3.82,4,3,3.28,4,3,5,2,4,4,4,3.99,3,2.08,4,4,5,4,4,3,3,3.04,3,4.01,4,4
Bacteroides,7,7,8,7,8,7,8,8,8,7,7,7,7,8,8.62,7,8,6,6,8,9,4,8,3,6,4,6,8,7,8,7,8,8,2.84,5.9,6,6.28,8,8,8,6,8,3,6,4,6,7,7,6,7,9,8,7.99,8,6,8,8,5,6,6,7,6,7,8,8,8
Betapapillomavirus,2,2,1,1,2,3,3,2.12,3,2,2,1,2,3.86,1,2,2,2,1,3,3,2.76,1,2,1,2.23,2,2.09,1,2.97,2.83,1,2,1,1,1,1,1,1,1,2,1,3,2,1.94,2.08,1,1,1,2.67,3,2,2,1,1,3,3,3,2,2,1,2,2,1,2,1
Beutenbergia,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.95,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1
Bifidobacterium,3.84,4,4,4,4,4,3,4,3,3,4,3,4,5,4,3.44,3,4,6,3,4,4,4,3,2,3,4,4.01,4,4,4,4.04,4,9,7,1,2.03,3,2,2,5,5,4,3,4,4,4,5,6,4,4,4,4,3.08,4,2,3.96,6,3,5,4,3,3,4,3,4
Blastochloris,1,2.67,1,2,1,2,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2.33,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1.97,1,1,2,1,2.92,2,1,1,1,1,2,2,1
Bordetella,2,2.99,2,3,1,3,2.02,2.63,3,1,2,2,2,2,2,2,2.91,2,1,3,3,3,3,2,1,3,3,2,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,3,2,2.11,2.83,2,1,3,2,3,2,1,2.15,2,3,2.31,2,1,2.22,3.03,2,2,2,1
Bosea,2.75,3,3,3,2,3,4,2.72,3,3,2,2,3,2,4,2,2,3,1,3,3,3,2,3,1,3.27,2.56,2,3,3,3,2.08,4,1.43,1,1,1,1,1,1,2,4,3,2,2,3,3,4,3,3.88,3,3,2.12,1,3,2,2.59,4,3,1,4,3,3,2,2,1
Brachybacterium,2.11,2.75,3,3,2.06,3,4,2,2.32,2.91,2,2,2,2,3,1,2,3,1,2.99,2.99,4,3,3,1,3,2,2.55,2,3,3,3,3,1.9,1,1,1,1,1,1,2,3,3,3,3,3,3,2,3,3,3,3,2,1,2,2,2,3,2,2,3,2,2,2,2,1
Bradyrhizobium,5,6,6,5.9,5.02,6,6,6,4,4,5,4,5,4,6,4,3,5,2,3,3,5,6,4.99,3,5,7,5.02,6,5,6,6.03,6,2.91,3.9,5,2.02,2.79,3,3,4,7,4,5,5,5,5,6,6,5.78,4,5,5,1,5,3,3,4,3,4,6,4.04,3,3,3.25,3
Brevibacterium,2,3,2.03,2.91,3,2,3,2,3,2.93,2,2,3,2,2,1,1,3,1,3,2.53,2,3,2,2,3,1,2,2,2,2.78,2,2,1.54,1,1,1,2,1,2,2,1,2,2,1,2,2,2,3,2,2,3,2,1,2,2,3,3,1,2,3,2.14,2,2,3,1
Brevundimonas,4,4,4,4,3.09,4.01,3,3,4,4,4,3,4,2,5,3,3,4,2,4,3,4,4,4,2,4,4,3,4.98,4,4,3.55,4,2.99,2.7,1,2.03,2.76,2,1,2,5,4,4,4.89,4,4,4,3,4,4,4,4,1,4,3,3,5,4,3,4.03,3.5,4,2,2,2
Burkholderia,3,3.27,4,3.8,8.01,4,2.99,8,4,3,3,3,4,3,3.09,3,3,4,2,3,6,4,4,4,2,4,2.46,8,6,3,3,8.98,3,1.93,2.99,4,1,2,3.15,3.14,3,3,3.02,4,2.86,3,3.8,5,4,3.87,3,4,8,1,3,2.86,3,4,3,3,4,3.95,3,2,6,2
Candida,3,2.03,2,2,2.02,3,2,2.12,3,2.16,2.92,2,2,4,2.36,3,3,2,1,3,3,2,2,3,1,2,2,2.07,1,2.47,3,3,2.14,1.98,1,1,1,3,2,2,2,2,2,2,1,2,2,2,2,2,3,2,3,1,2.98,3,3,2,3,2,3,2,2,3,2,2
Candidatus Solibacter,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Capnocytophaga,2,3,2.02,3,3.79,3,1,4,3,3,2,2,3,3,1,3,4,2,2,4,5,3,2,3,2,2,3,3.57,2,3,2,3.13,2.13,1.95,1,1,1,1,1,1,2,2.43,3,3,2.12,2,3,2,2,3,3,3,3,1,1,3,3,3,3,2,2.16,2.12,3,2,4,3
Carnobacterium,4,5,5,4,5,5,5,5,5,5,5,5,5,5.88,5,5,5,5,3,5,6,3,5,2,2,2,3,5,5.06,4,4,5.57,4,3.96,3.9,2.02,3,3,3.32,5,4,4,2,3.25,2,5,5,5,4,5,5,5,5,2.03,4,5,5,3,4,3,3,4,4,5,5,6
