Name,Cumul.reads_dtBaseline_1_2018-09-05_ds10813553,Cumul.reads_dtBaseline_10_2018-09-14_ds10813559,Cumul.reads_dtBaseline_11_2018-09-15_ds10813571,Cumul.reads_dtBaseline_12_2018-09-16_ds10813570,Cumul.reads_dtBaseline_13_2018-09-17_ds10813556,Cumul.reads_dtBaseline_14_2018-09-18_ds10813558,Cumul.reads_dtBaseline_15_2018-09-19_ds10813575,Cumul.reads_dtBaseline_16_2018-09-20_ds10811746,Cumul.reads_dtBaseline_17_2018-09-21_ds10813554,Cumul.reads_dtBaseline_18_2018-09-22_ds10813555,Cumul.reads_dtBaseline_19_2018-09-23_ds10813563,Cumul.reads_dtBaseline_2_2018-09-06_ds10813564,Cumul.reads_dtBaseline_20_2018-09-24_ds10813569,Cumul.reads_dtBaseline_21_2018-09-25_ds10813551,Cumul.reads_dtBaseline_22_2018-09-26_ds10813572,Cumul.reads_dtBaseline_23_2018-09-27_ds10813557,Cumul.reads_dtBaseline_24_2018-09-28_ds10813561,Cumul.reads_dtBaseline_25_2018-09-29_ds10811749,Cumul.reads_dtBaseline_26_2018-09-30_ds10813560,Cumul.reads_dtBaseline_27_2018-10-01_ds10813567,Cumul.reads_dtBaseline_28_2018-10-02_ds10813574,Cumul.reads_dtBaseline_29_2018-10-03_ds10813578,Cumul.reads_dtBaseline_3_2018-09-07_ds10811748,Cumul.reads_dtBaseline_30_2018-10-04_ds10811747,Cumul.reads_dtBaseline_31_2018-10-05_ds10813562,Cumul.reads_dtBaseline_32_2018-10-06_ds10813566,Cumul.reads_dtBaseline_33_2018-10-07_ds10813573,Cumul.reads_dtBaseline_4_2018-09-08_ds10813565,Cumul.reads_dtBaseline_5_2018-09-09_ds10813552,Cumul.reads_dtBaseline_6_2018-09-10_ds10813576,Cumul.reads_dtBaseline_7_2018-09-11_ds10813577,Cumul.reads_dtBaseline_8_2018-09-12_ds10811750,Cumul.reads_dtBaseline_9_2018-09-13_ds10813568,Cumul.reads_dtKefir_ds10826596,Cumul.reads_dtNeg_DNAextr_1_ds10826595,Cumul.reads_dtNeg_DNAextr_2_ds10828555,Cumul.reads_dtNeg_DNAextr_3_ds10828557,Cumul.reads_dtNeg_DNAextr_4_ds10828558,Cumul.reads_dtNeg_DNAextr_5_ds10826597,Cumul.reads_dtNeg_DNAextr_6_ds10828559,Cumul.reads_dtOutsideFarm_1_2018-09-05_ds10826589,Cumul.reads_dtOutsideFarm_10_2018-10-01_ds10826591,Cumul.reads_dtOutsideFarm_11_2018-10-03_ds10826593,Cumul.reads_dtOutsideFarm_12_2018-10-06_ds10828553,Cumul.reads_dtOutsideFarm_13_2018-10-07_ds10828554,Cumul.reads_dtOutsideFarm_2_2018-09-10_ds10828551,Cumul.reads_dtOutsideFarm_3_2018-09-11_ds10826599,Cumul.reads_dtOutsideFarm_4_2018-09-12_ds10826598,Cumul.reads_dtOutsideFarm_5_2018-09-17_ds10828552,Cumul.reads_dtOutsideFarm_6_2018-09-20_ds10826592,Cumul.reads_dtOutsideFarm_7_2018-09-22_ds10826594,Cumul.reads_dtOutsideFarm_8_2018-09-24_ds10826590,Cumul.reads_dtOutsideFarm_9_2018-09-28_ds10826600,Cumul.reads_dtSequencingBlank_ds10828556,Cumul.reads_dtTxAntibiotic_1_2018-09-06_ds10798909,Cumul.reads_dtTxAntibiotic_10_2018-10-03_ds10798906,Cumul.reads_dtTxAntibiotic_11_2018-10-04_ds10798915,Cumul.reads_dtTxAntibiotic_12_2018-10-05_ds10798912,Cumul.reads_dtTxAntibiotic_2_2018-09-07_ds10798908,Cumul.reads_dtTxAntibiotic_3_2018-09-13_ds10798911,Cumul.reads_dtTxAntibiotic_4_2018-09-14_ds10798910,Cumul.reads_dtTxAntibiotic_5_2018-09-19_ds10798913,Cumul.reads_dtTxAntibiotic_6_2018-09-20_ds10798904,Cumul.reads_dtTxAntibiotic_7_2018-09-21_ds10798907,Cumul.reads_dtTxAntibiotic_8_2018-09-26_ds10798914,Cumul.reads_dtTxAntibiotic_9_2018-09-29_ds10798905
Caulobacter,3,2,2,2,2,3,1,3,3,2,2,1,3,2,2,2.19,2,3,1,2.76,2,4,3,3.3,1,3,4,3,3.03,3,2,3.83,3,1,2,1,1,2,1,1,2,2.49,3,3,2,2,2,2,2,2,2,3,3,1,2.99,2,2,4,3,2,3,2.88,2,1,2,2
Cedecea,2,4,3,3,2,4,3,2.15,3,4,2.92,3,3,3,3,2,2.1,3,2,3,3.79,1,3.63,2,2,1,2,2,3,2,3,2.1,3,1,1,1,1,2,2,1,2,2,2,1,1,4,3,2.03,3,3,2,3,2,1,2,3,3,2,2,2,1,3,3,1,2,2
Celeribacter,1,2,1,3,2.24,2.25,3,2,2.44,1,1,2,2,1,1,1,2,3,1,2,2,2,2,2,1,2,1,1,3,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1.97,1,1,2.73,1,1,2,1,2.38,1,2,2,1,2,2,1,2,2,2,1,2,1
Cellulomonas,2,2,2,2,2,3,2,2.93,2,2,2,2,2,2,2,2,2,2,1,2,2.6,1,2,2,1,2,2,2,2,2,2.89,2,2.87,1,2,1,1,1,1,1,1,1,2,1,2,3,2,2,1,1,3,2,2,1,2,2,1,3,1,2,1,2,2,1,1,1
Chania,2,1,2,1,1,2,1,1,3,2,2,2,3,2,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,3,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1
Chelatococcus,1,1,1,2,2,2,1,2,2,1,1,2,1,1,2,2,2,2.03,1,2,2.07,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2.01,1,2,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,2,2,1,3,2,2,2,3,1,1,1,1
Christensenella,1,1,1,1,2,3,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2.83,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2.36,1,2,1,2,1,1,1,2,1,1,1,1,1
Chromobacterium,1,2,2,2,1,2.99,1,2,2.04,2,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,3,2,1,1,1,1,1,1.99,1,2,2,2,1,2,1,1,3.02,2,1,1,1
Chryseobacterium,4,4,4,4.17,3.94,4.93,5,4.02,5,4,4,4,4,4,4,5,5,4,3,5,5,4,4,4.98,5,4,6,3.32,4.1,4,4,3.1,4,2.73,2,1,3,5,4,4,3,4,4,4,3,4,5,4,4,5,5,5,4,2.03,4,5,5,5,4,3,4,7,4,4.07,5,5.98
Citrobacter,6,4,3,3.42,3,4,4,4,4,3.03,3,4,3.95,3,3,3,4,4,1,4,3,2.01,4,3,3,3,3,2.99,3,3,4,3,4,1.56,2.96,3.74,3,3,1,1,2,3,3,3,1,4,3,2.78,2,3.84,3,3,2.15,4.91,7,3,3,3,4,6,9,7,4,5,4,3
Clavibacter,3,2,2,3,2,2.43,1,2,2.01,2,2.02,2,2,2,2,1,3,1,1,2,2.97,1,1,2,1,3,2.52,2,2,2,2,1,3,1.46,1,1,1,1,1,2,1,2,2.24,1,2,2,3,1,1,1,2,2,1,1,1,2,1,3,1,2,3,2,2,1,2,1
Clostridioides,2,3,2,2,2.04,2,1,3,3,2,2,2,3,3,2,3,3,3,2.42,2,4,1,3,1,1,2,4,3,3,3,2,2,3,1.97,1,1,1,2,1,2,2.02,3,2,3,1.95,3,3,1,3,3,2.94,3,2.9,1,1,3,3,2.89,2,2,2,2.08,3,2.69,3,2
Clostridium,2.99,2,4,2,1,2.99,1,3.96,3,1,2,2,2,5,3,3,3,3,3,3,4,3,3,1,2,2,2,2.13,1,3,2,2,2,2.05,2.7,1,1,1,1,1,2,3,2,2,2,2,3,2,2,4,3,1,3,1,1,2,2,2.31,3,2,3,2,2,4,4,3.84
Cobetia,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1
Confluentimicrobium,2,2,1,2,1,2,1,1,2,2,1,1,2,1,2,1,1,2,1,2,1,2,2.32,1,1,1,1,3,3,1,2.83,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,2,1,2,2,2,1,2,1,2,2.89,3,2,1,2,2,1,1,1
Corynebacterium,8,8,9,7,8.99,8,7,9,7,7,8,7,8,6,8,7,6,8,5,6,7,9,8,9,6,9,8,9,9,9,8,8.02,9,5.23,5.9,8,7,7,6,6,7,8,7,9,8,7,7,9,7,9,7,9,9,7.59,6,5,6,9,6,7,7,7,8,5,7,6
Coxiella,3,3,3,3,3,5,4,3,1,3.83,3,1,3.07,4,4,4,2,3,4,2,2,3,1,2,1,3,3,1,3,3,3,4,2,1,2.99,1,2.02,1,2,2,3.07,5,4,4.99,2.65,4,5,5,4,5,2.94,5,4,3.08,2,3,1,4,2,2,3,3,2,2,2,2
Cronobacter,3.06,4,4,3,2.38,4,2.01,3.23,4,4,3,4,3.06,3,3.86,3,3.95,3,2,4,3.44,1,3,2,1,3,1,3,4,3,4,2.97,3,1,1,1,1,2.78,2.56,1,2.39,3,1,1,1,3.03,3,3,2,4,3,4,4,1,4,3.02,3.05,3,3,2.95,4,3,3,3,4,2
Cryobacterium,1,3,2,2,1,2,2,1,2.08,2,1,2,2,1,3,2,3,2.99,2,2,2,1,2,1,1,1,1,1.99,3,2,2.02,2.94,2.98,1.92,1,1,1,1,1,1,2,2,2,2,2,2,3,3,1,2,2,1,2.12,1,1,2,1,3.97,2,2,1,2,2,1,3,1
Cupriavidus,3,3,3,3,6,3,3,6,3,3,1,3,3,3,2.28,2,2.93,3.21,1,3,4,3,2,2.03,1,2,2,5.76,4,2.99,3,6.98,3,1,1,1,2.02,1,1,3,2,3,2,3,2,3,2.87,4,3,2,3,2.34,6,2.06,2,2,2.63,3,2,3,3,3,2,2,3.27,2
Curtobacterium,2.68,3,2.82,3,3,2.39,1,1,3,2.91,2,1,2,2,2,2,2,2,1,3,2,3,2,2.84,2,2.95,2,2,2,2.01,4,2,3,2.04,1,1,1,1,2,1,2,3,2,2,5,3,3,2,2,2,2,2,2.99,1,2.26,2,2,3,2,1,2,2,2,2,1,1
Cutibacterium,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,10,10,10,10,10,9,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,9,10,10,10,8,10,10
Defluviimonas,2,2,1,2,2.28,2.44,2,2,2,1,1,1,2,2,2,1,2,2,1,3,2,3,2,2,1,2,1,1,2,2.48,2,2.11,2,1.58,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,1,2,2.71,1,1,2,1,3,2,1,1,1,2,1,2,2
Deinococcus,2.73,2.72,3,3,2.77,2,3,3.01,3,1,3,2,2,2,3.87,2.34,3,2,1,3,3,2.99,3,3,1,2.73,1,2.5,2,3,3,2,3,1.92,1,1,1,1,1,2,2,3,2,2,2.64,3,3,2,2,4,3,3,2.53,1,2,2,2,2,2.51,1,2,3,2,2,2,2
Delftia,2,3,3,2.89,2.28,2,2,3.06,3,2,2,3,3,2,1,3,2,3,1,3,3,5,2,4,1,4,4,3,2,3,2,1,3,2.02,1,1,2.03,3,1,3,2,2.47,4,2.11,3,2,3,2,2.04,3,2,2,2.02,1,4,4,2,4,3,2,3,6,3,3,4,3
Deltapolyomavirus,1,1,3,2,1,2,1,2,1,2,1,1,1,3,1,1,2.1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,3,1,2.11,1,1,1,1,1,1,1,1,1,1,1,1
Dermabacter,3,2.04,3,3,2,3,3,2,2,2,3,3,2.1,2,3,2,2.93,3,1,3,1,3,4,3,1,2,2,2.87,2.95,3,3,2,3,1.98,1,1,1,1,1,1,2,2.4,3,3,3.83,2,3,3,3.11,3,1,3.56,3,1,2,2,2,3,3,2,2,3,3,2.03,1,1
Dermacoccus,4,4,5,5,4,4.35,4,4,4,4,4,3,4,3,5,3.45,4,4,2.32,4,4,5,5,4.99,2,5,4,4,5,4,5,4.77,4.72,3.01,2,2.05,2.04,4.01,1,3,3,4.83,4,4,4.95,3.84,4,5,4,4,4,4,4.99,1,4,2,3,5,3.42,4,4,4,3.58,2,2,2
Devosia,1,1,2,1,2.02,2,1,1,2.01,1,1,1,2,2,1,1,2,2,1,2,2,2,2,3,1,2,2,1,2.53,1,1,1,1,1.84,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,3,1,1,1,1,2,1,2,1
Devriesea,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,2.03,3.02,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,2,1,1.99,1,1,1,2,1,1,1,1,2,2,1,1,1
Dickeya,2,2,2,2,1,3,1,1,2,1,2,2,2,3,1,1,3.09,2,1,2,3,1,3,1,1,2,1,2,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2.89,1,2,1,1,2,2,2,2,1,2,2,3,1,2,1,2,2,1,2,1,1
Dietzia,2,2,1,2.9,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,3,2,2.01,2,2,2,2,1,2.98,1,2,2,1,2,1.33,1,1,1,1,1,1,2,2,2,1,1,2,3,1,2.06,1,2,2,2.19,1,2,1,2,3,2,1,1,1,1,1,1,2
Dokdonella,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,3,1,3.99,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,2,2,2.01,1,1,1,2,4,1,2,1,2,2,1,1,2
Edwardsiella,2,2.01,2,2,1,2,2,1,2,1,1,2,1,3,2,2,2,2,1,2,3,1,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,3,2,2,2.29,2,1,2.99,2,1,1,1,1
Eggerthella,2,2.01,1,2,2,2,1,2.1,2,2,2,3,3,1,1,2,1,2.98,1,2,3,2,1,1,1,1,1,2,2,2,2,1,3,1,1,1,1,1,1,1,2,1,1,1,1.97,3,2,1,1,1,2,1,3,1,2,1,2,2,2,1,2,2,2,1,1,1
Elizabethkingia,4,6,5,5,4,6,5,5,5,5,4,5,5,5,5,4,5,4,6,5,5,4,5,5,4,5,4,4.68,5.26,4,4,4,4,2.15,4.9,1,3,6,8,8,4,5.24,4,4,3,5,4.99,5,4,5,5,6,4,3.93,7,10,5,5,7,4,4,4.82,5,9,8,10
Ensifer,2,1,2,2,1,2,1,2.68,2,1,1,2,3,2,3,1,1,3,1,2,2,2,1,1,1,2,2.5,2.01,4,2,1,2,3,1,1,1,1,1,1,1,2,3,2,2,2.56,2,2.12,3.26,1,3,2,2,2,1,2,1,1,2,2.08,2,2.1,2,3,2,1,1
Enterobacter,5,6,5.89,5,5,6,6,6,5,5,5,5,6,5,6,5,5,7,5,5,5,4,6,4,4,4,5,5,5,5,5,5,5,2.56,4.9,6,4.66,5.01,5,5,4,5,4,3.2,2.98,5,5,4,5,6,5,6,5,6.91,9,6,5,5,6,6,10,8,8,8,7,8
Enterococcus,3,4,4,3.1,4,4,5,3,4,4,4,4,4,5,4,4.9,4,4,5,4,5,3,4,3,3,2.7,4,4,4,4,3.99,4,3.76,8,6.9,3,2.03,3.56,2,3,4,4.79,4,4,4,2.83,4,4,5,4,5,5,3,2.06,7,4,4,3,4,5,5,4,3,4,5,6
Eremothecium,2,2,2,3,2,2,3,1,3,2,1,2,2,2,4,1,3,2,1,3,3,1,2,1,1,3,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,2.06,2,2,2.86,3,3,3,1,1,1,1,2,2,2,2,2.16,2,3,3,2,2
Erwinia,4,6,6,5,5,6,6,5.46,5,5,5,6,5.99,5,6,5,5,5,3,5,5,3,6,2,2.14,2.78,3.86,5,5,4,5,5,4.98,1.44,3.9,3.75,3,5,4.53,4.55,4,7,2,3.22,3,5,5,5,5,6,5,5,5,3.95,5,5,5,4,4.02,4,6,5,5,3,4,3.67
Escherichia,7,5,5,4,4.03,5.24,5,4.58,4,4,4,5,4,3,4.9,4,4,5,4,4,4,3,5,2.02,2,3,5,4,5,4,9,4,5,1.79,2.98,3,3.64,3.48,2,3.14,3,4,3,2,2.97,5,4,3.81,4,5,4,4.14,3.18,4.94,5,4,4,3,4,3.11,5,4.56,4,4,4,3.99
Exiguobacterium,3,3,3.32,3,3,4,3,2,4,3,3,3,3,4,3,3,4,3,1,4,4,7,2.23,5.99,3,5.05,4,3,3.14,3,3,2.55,3,1.87,2,2.02,2.02,2.69,2.52,1,3,3,5,5,3,3,4,4,4,3.09,3,4,3,1,3,3,4,5,3,3,3.99,3,3,4,1,4
Ezakiella,2,3,3,2.92,2.02,2,4,3,3,2,2.02,2,3,4,3,3,4,2.53,3,3,4,3,2,3,2,3,4,2.09,2.02,2,2,3,2.85,2.35,2,1,1,2,1,1,2,3,3,4,3,3,3,2,2,2,3,3,2,1,2.15,4,3,3.74,2,2,3,2,2,3,4,3
Filifactor,1,2,2,1,2,2,1,2,3,1,1,1,1,2,1,1,2,1,1,2.01,4,2,1,1,1,2,4,2,1,1,1,2.06,1,1.15,1,1,1,1,1,2,2,1,1,3,2,3,2,1,1,1,2,3.96,1.98,1,1,1,2,2,2,1,2,1,1,1,2.01,2
Finegoldia,5,5,5,4,4,4,5,4.93,5,4,4.86,4,5,6,5,5,5,4,5,5,5,6,5,5.99,7,5,8,4.77,5,4.29,5,4,4,4,3.9,1,1,4.01,4,4,4,5,5,7,6,4,5,4,4.06,5,5,6,4.7,3.2,4,5,5,6,4,4,4,4,4,6,5,6
Flavobacterium,3,3,3,2.08,3,2,4,2,4,3,3.03,2.84,3,4,3,3,4,3,2,4,3,2,3,3,2,3,5,2.85,4,3,2.9,1,3,1.74,2,3,1,2.77,1,2,2.02,3,3,4,3,2.86,3,4,2.05,3,4,3,3,1,2,3,4,5,2,2,3,2.8,3,4,3.01,4
Flavonifractor,2,2,2,2,2,2,2,2,3,1,2,1,2,2,3,2,2,2.02,1,3,2,1,3,1,1,2,1,2,2,1,3,2,2,1,1,1,1,1,1,1,2.99,2.54,2,2,1,2,3,2,2,2,2,3,2.46,1,2,2,1,2,2,1,2,2,1,1,1,1
Frankia,2,2,1,2,1,2,1,1,2,1,2,1,1,1,2,1,2,1,1,2.78,2,1,2,2,2,2,2,2,2,2,1,1,2,1.67,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,2.94,1,2,1,2,1,2,1,1
Frateuria,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.94,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,2,2,1,1,1
Frondihabitans,2,2,2.05,1,1,2.38,1,1,2,1,2,1,1,1,1,2,3,1,1,2,2,2,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,3,2,1,1,2,2.69,2,2,1.98,1,2,1,1,2,1,1,2.1,2,1,1,1,1
Fusobacterium,3,3,3,3,4,3.99,5,4,4,3.02,3,3,3,5,5,3,5,3,3.3,4,6,3.23,3.01,4.44,7.23,4,6,4,4,3,3,4,3.41,3.03,3,2,2.04,2.72,3,4,3,4,3,5,4,3.54,4,2.84,3,3.89,5,4,3.99,1,3.61,4,4,4,3,2,3.63,3,3,4,5,4
Gardnerella,3,3,2.78,3.99,3,3,4,3.48,4,3,3,2,4,4,3.92,3,4,2,1,4,4,3,3.99,3,3,4,3,3,4,3,2,3,3,2.87,2,1,3,2,2.63,3.22,2.47,2,2.21,3,3.18,3,3,2,3.93,3,4,7,3,1,2,4,4,4,3,2.05,3,3,3,4,3,3
Geobacillus,5,6,3,4,3.98,7,5,3,5,5,3,5,5,4,5,3,4,5,3,4,4,3,4,2,2,2,2,4,4,5,3,4,5,1.79,1,3,2.01,2,4.55,4,6,4.11,2,2,2,6,4,3,5,5,4,6,4,3.04,3.11,5,4,2,3.08,4,4,3.66,5,3.16,4,3.99
Glutamicibacter,3,3.93,4,3.05,4,3,3,3.06,2,3.84,2.9,3,3,2,4,2,2,3,2,3,3,4,4,2.86,2,3,4,4,3,3.03,3,2,3,1.22,1,1,1,1,1,1,2,3,2.98,1,2.18,1,3,1,2,3,1,3,2.99,2.06,3,2,2,3,2,2,4,3,2,2,1,2
Gordonia,3.78,4.52,5.63,5,5,5,5,4.88,4,4,4,4,5,4,5,3,4,5,3,4,4,6,5,6.99,3,6,5,4.04,6,5,4,4,5,2.99,2.73,4,3,2.74,3,2,3,6,5,5,4.99,4,5,5,4,5,4,4,5,1,4,3,4,6,4,4,4.56,4,4,3,3.21,3
Haemophilus,4,4,5,4,5,4,5,5,5,3.12,5,3.02,4,5,4,5,4.46,4,3,5,5,5,5,5,6,4,5,5,5,5,4,5,4.06,2.95,2.76,2.01,2.03,4,4,2.99,3,4,3.02,4,4,4,5,3,5,5,4,5,5,2.06,3,4,5,5,4,3,4,4,4,4,5,5
Hafnia,1,2,2,2,1,3,2,2,2.05,1,1,1,1,1,1,1,1,1,1,2,2,2,2.35,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,3,3,1,1,3,1,2,5,2,2,1,1,2.05,5,4,2,2,3,1,2,4.1,2,2,1,4
Haliangium,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1
Herminiimonas,2,2,1,3,7,2,1,7.01,2,2,2,2,3,3,2,2,2,3.05,1,2,5,1,2,2,2,1,1,7,5,2,1,7.98,2.09,1,2.99,1,1,1,3,1,3,1,1,3,1,1,2,5,3,2.02,2,2,7.81,1,2,2,2,2,1,3,2,2,2.18,1,6,2
Histophilus,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
Intrasporangium,1,1,3,2,1,3,1,1,2,1,2,2,1,2,3,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,3,1,2,1,1,2,2,2,1.99,1,1,2,1,3,2,2,2,1,2,1,2,1
Isoptericola,1,2,3,1,1,2,1,2,2,2,1,2,2,2,1,1,2,1,1,2,1,2,3,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1,1,1,2,1,1,1
Janibacter,4,5,5,5,4,5,3,4,4,4,4,4,4,3.02,5,4,3,3.02,3,4,4,7,5,6.99,3,6,5,3,5,4,5,4,4,2.94,1,1,1,2,3,2,3,5,5.02,4,4,4,4.02,4,4,4,4,4.04,3.12,1,4,3,3,6,4,3,5,4,3,3,2,3
Janthinobacterium,3,3,4,4,4,4,3,4,4,3,4,3,3,4,4,3,3,3,2,4,4,3,4,3,2,2,2,4,4,3.01,4,4,4,1.99,1,1,2.02,1,2,1,3,4.08,3,3,1.95,3.96,4,4,3,4,4,3.95,4,1,3,2.99,3,4,3,3,4,3,3,2,2.02,3
Jeongeupia,1,1,1,2,1,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,1,1,2,1,2.42,1,1,1,1
Jeotgalibaca,2,2,2,1,2,2.42,3,1,2.32,2.12,2,2,2,2,2,3,1,1,1,2,2,3,3,2,1,1,1,2,2,2,2,3,2,1,1,1,1,1,2,1,3,1,1,2,1,3,2,3,3,3,1,3,1.99,1,3,2,2,2,2,2,2,2,1,2,1,1
Ketogulonicigenium,2,2,3,2.9,2,2,3,1,1,2,3,1,2,1,1,1,1,1,1,1,2.08,3,1,3.95,1,2,1,2.52,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2.84,1,2,2,1,2,2,2,1,2,2,1,1,2
Kingella,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,3,1,1,1,1,1,1,1,2,2,1,1,1,1
Kitasatospora,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1.93,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1
Klebsiella,10,7,7,7,6,8,7,7,9,7,6,7,7,6,7,6.61,6,8,5,6,6,6,7,5,5,5,10,7,7,7,6,6,7,2.01,4.9,7,4,8,6,6,5,7,4,5,4.12,7,8,7,6,8,7,8,6,7,10,6,6,6,8,6,8,8,8,7,7,8
Kluyveromyces,2,1,2,1,1,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2.48,2.98,1,2,1,1,1,4,3,1,3,2,2,2,1.92,1,2.02,1,2,1,1,1,1,1,1,2,1,2,1,1,1,3,2.29,2.94,1,2,3,1,1,1,1,1,1,1,2.98,1,1
Kocuria,4,4,5,4,4,4.99,5,4,5,4.89,4.14,3,6,3.97,4,4,4,5,3,4,4,6,5,5.44,3,6,5.55,2.2,4,5,4.53,4,5,3.78,3.9,2.01,2.04,2,2,1,3,5,5,5,5,4,4,4,4,5,4,5,4,3.94,3,2.07,4,6,4,3,5,4,4,2.66,3.27,3
Kosakonia,2,3,2,3,3,3,1,2.01,3,2,2.06,2.17,2,3,1,2,2.65,2,1,3,3,3,2,1,1,3,2,2.97,2.97,2,1,3,2,3.05,2.81,1,1,1,1,1,2,1,2,1,1,3,2,2,2,3,3,1,3,1,3,3,2,2,2,4,4,3.04,2.15,2,2,2
Kribbella,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1.41,1,1,1,1,1,1,2,2,2,2,1,1,2,2,1,2,1,2,2.09,1,1,1,1,3,1,2,1,2,2,1,1,1
Kytococcus,2,2.04,3,3,3,3.23,2.04,2,2.99,3,3,2,2,3,3,3,2.95,2,1,2.01,2,2,2,3,2,3,3,2,3,2,3,1,2,2.07,1,1,2.03,1,1,1,2.02,3,2,2,3,3,2,3,3,3,2,3,1,1,2,2,2,3,1,3,3,2.03,2.92,1,2,1
Lachnoclostridium,2,3,3.84,3,3,3,3,3,3,2,3,3,3,3,4,4,3,3,3,4,4,1,4.27,1,1,2,2,2.96,3,2,3,3.8,3,2.89,1,1,2.02,2,2,2,2.85,3,2,2,1,3,2,3,3,3.32,3,3,3.13,1,3,3,4,2,2,2,3,3,3,3,2,3
