Dataset,Owner,Created,Category,Label,State,Workflow,Grouped,Display.TAG,Kraken.UNCLASSIFIED,
10806458,nshaimin,6/15/2020 21:38,KRAKEN,phix filtered Milk Baseline 10804074_Baseline_28_2018-10-02,READY,Kraken,TRUE,Baseline_28_2018-10-02,48342756,
10806459,nshaimin,6/15/2020 21:43,KRAKEN,phix filtered Milk Baseline 10804063_Baseline_21_2018-09-25,READY,Kraken,TRUE,Baseline_21_2018-09-25,51155830,
10806460,nshaimin,6/15/2020 21:57,KRAKEN,phix filtered Milk Baseline 10804079_Baseline_18_2018-09-22,READY,Kraken,TRUE,Baseline_18_2018-09-22,50361140,
10806461,nshaimin,6/15/2020 22:05,KRAKEN,phix filtered Milk Baseline 10804071_Baseline_16_2018-09-20,READY,Kraken,TRUE,Baseline_16_2018-09-20,61258041,
10806462,nshaimin,6/15/2020 22:00,KRAKEN,phix filtered Milk Baseline 10804065_Baseline_15_2018-09-19,READY,Kraken,TRUE,Baseline_15_2018-09-19,46361658,
10806463,nshaimin,6/15/2020 22:17,KRAKEN,phix filtered Milk Baseline 10804053_Baseline_5_2018-09-09,READY,Kraken,TRUE,Baseline_5_2018-09-09,78906881,
10806464,nshaimin,6/15/2020 22:04,KRAKEN,phix filtered Milk Baseline 10804083_Baseline_27_2018-10-01,READY,Kraken,TRUE,Baseline_27_2018-10-01,57053416,
10806465,nshaimin,6/15/2020 22:07,KRAKEN,phix filtered Milk Baseline 10804069_Baseline_24_2018-09-28,READY,Kraken,TRUE,Baseline_24_2018-09-28,48080838,
10806466,nshaimin,6/15/2020 22:21,KRAKEN,phix filtered Milk Baseline 10804080_Baseline_4_2018-09-08,READY,Kraken,TRUE,Baseline_4_2018-09-08,67647346,
10806467,nshaimin,6/15/2020 22:22,KRAKEN,phix filtered Milk Baseline 10804058_Baseline_1_2018-09-05,READY,Kraken,TRUE,Baseline_1_2018-09-05,70695820,
10806468,nshaimin,6/15/2020 22:28,KRAKEN,phix filtered Milk Baseline 10804067_Baseline_12_2018-09-16,READY,Kraken,TRUE,Baseline_12_2018-09-16,67373971,
10822026,nshaimin,6/18/2020 14:13,KRAKEN,phix filtered Milk OutsideFarm plus others 10822010_OutsideFarm_3_2018-09-11,READY,Kraken,TRUE,OutsideFarm_3_2018-09-11,59938254,
10822027,nshaimin,6/18/2020 14:12,KRAKEN,phix filtered Milk OutsideFarm plus others 10822016_OutsideFarm_10_2018-10-01,READY,Kraken,TRUE,OutsideFarm_10_2018-10-01,56818256,
10822028,nshaimin,6/18/2020 13:40,KRAKEN,phix filtered Milk OutsideFarm plus others 10822021_Neg_DNAextr_3,READY,Kraken,TRUE,Neg_DNAextr_3,826636,
10822029,nshaimin,6/18/2020 14:17,KRAKEN,phix filtered Milk OutsideFarm plus others 10822018_OutsideFarm_9_2018-09-28,READY,Kraken,TRUE,OutsideFarm_9_2018-09-28,66770518,
10822030,nshaimin,6/18/2020 13:40,KRAKEN,phix filtered Milk OutsideFarm plus others 10822007_Neg_DNAextr_5,READY,Kraken,TRUE,Neg_DNAextr_5,1114407,
10822031,nshaimin,6/18/2020 14:15,KRAKEN,phix filtered Milk OutsideFarm plus others 10822017_OutsideFarm_11_2018-10-03,READY,Kraken,TRUE,OutsideFarm_11_2018-10-03,71955045,
10822032,nshaimin,6/18/2020 14:12,KRAKEN,phix filtered Milk OutsideFarm plus others 10822009_OutsideFarm_8_2018-09-24,READY,Kraken,TRUE,OutsideFarm_8_2018-09-24,68822923,
10822033,nshaimin,6/18/2020 13:40,KRAKEN,phix filtered Milk OutsideFarm plus others 10822013_Neg_DNAextr_1,READY,Kraken,TRUE,Neg_DNAextr_1,1382236,
10822034,nshaimin,6/18/2020 14:15,KRAKEN,phix filtered Milk OutsideFarm plus others 10822023_OutsideFarm_13_2018-10-07,READY,Kraken,TRUE,OutsideFarm_13_2018-10-07,73720389,
10822035,nshaimin,6/18/2020 14:15,KRAKEN,phix filtered Milk OutsideFarm plus others 10822020_OutsideFarm_6_2018-09-20,READY,Kraken,TRUE,OutsideFarm_6_2018-09-20,73312858,
10822036,nshaimin,6/18/2020 14:06,KRAKEN,phix filtered Milk OutsideFarm plus others 10822024_OutsideFarm_2_2018-09-10,READY,Kraken,TRUE,OutsideFarm_2_2018-09-10,55197311,
10822037,nshaimin,6/18/2020 14:35,KRAKEN,phix filtered Milk OutsideFarm plus others 10822019_OutsideFarm_5_2018-09-17,READY,Kraken,TRUE,OutsideFarm_5_2018-09-17,60579908,
10822038,nshaimin,6/18/2020 14:26,KRAKEN,phix filtered Milk OutsideFarm plus others 10822014_OutsideFarm_7_2018-09-22,READY,Kraken,TRUE,OutsideFarm_7_2018-09-22,33631590,
10822039,nshaimin,6/18/2020 14:37,KRAKEN,phix filtered Milk OutsideFarm plus others 10822008_OutsideFarm_12_2018-10-06,READY,Kraken,TRUE,OutsideFarm_12_2018-10-06,52813114,
10822040,nshaimin,6/18/2020 14:45,KRAKEN,phix filtered Milk OutsideFarm plus others 10822004_OutsideFarm_1_2018-09-05,READY,Kraken,TRUE,OutsideFarm_1_2018-09-05,66557961,
10822041,nshaimin,6/18/2020 14:15,KRAKEN,phix filtered Milk OutsideFarm plus others 10822011_Neg_DNAextr_2,READY,Kraken,TRUE,Neg_DNAextr_2,1353832,
10822042,nshaimin,6/18/2020 14:16,KRAKEN,phix filtered Milk OutsideFarm plus others 10822006_SequencingBlank,READY,Kraken,TRUE,SequencingBlank,1051308,
10822043,nshaimin,6/18/2020 14:45,KRAKEN,phix filtered Milk OutsideFarm plus others 10822015_Kefir,READY,Kraken,TRUE,Kefir,62033517,
10822044,nshaimin,6/18/2020 14:16,KRAKEN,phix filtered Milk OutsideFarm plus others 10822012_Neg_DNAextr_6,READY,Kraken,TRUE,Neg_DNAextr_6,909257,
10822045,nshaimin,6/18/2020 14:16,KRAKEN,phix filtered Milk OutsideFarm plus others 10822005_Neg_DNAextr_4,READY,Kraken,TRUE,Neg_DNAextr_4,1104617,
10822046,nshaimin,6/18/2020 14:48,KRAKEN,phix filtered Milk OutsideFarm plus others 10822022_OutsideFarm_4_2018-09-12,READY,Kraken,TRUE,OutsideFarm_4_2018-09-12,67057031,
